# This file gives a closer overview about the occurrences of ADC overflows
# during the last acquisition.
# It is updated each time an FID is written to disk.
# 'Scans' denotes the number of scans that have been acquired for the current FID buffer,
# 'Experiment' the number of the current FID buffer 
# (which may be >1 in case of multi dimensional acquisition),
# 'Overflows' the total number of ADC overflows (if existing) that appeared during 'Scans'
# scans in FID buffer 'Experiment'.
# In case a multi-dimensional experiment is fully executed in the FID buffer of the DRU
# (i.e. using 'st' commands) only the sum of all overflows over all experiments is displayed.
# Note that the number of overflows may exceed the actual number of scans
# since there may be more than one overflow per scan.


# Scans   Experiment   Overflows
# ------------------------------
16   1   26
16   2   26
16   3   27
16   4   28
16   5   27
16   6   27
16   7   26
16   8   28
16   9   28
16   10   27
16   11   26
16   12   28
16   13   26
16   14   27
16   15   29
16   16   27
16   17   28
16   18   28
16   19   28
16   20   28
16   21   28
16   22   27
16   23   28
16   24   29
16   25   27
16   26   28
16   27   28
16   28   28
16   29   27
16   30   28
16   31   29
16   32   28
16   33   28
16   34   28
16   35   28
16   36   26
16   37   26
16   38   28
16   39   29
16   40   27
16   41   27
16   42   28
16   43   27
16   44   27
16   45   27
16   46   27
16   47   27
16   48   26
16   49   27
16   50   28
16   51   28
16   52   27
16   53   28
16   54   27
16   55   27
16   56   27
16   57   27
16   58   27
16   59   28
16   60   27
16   61   27
16   62   27
16   63   27
16   64   27
16   65   29
16   66   26
16   67   27
16   68   27
16   69   27
16   70   28
16   71   27
16   72   27
16   73   27
16   74   28
16   75   27
16   76   29
16   77   27
16   78   28
16   79   27
16   80   26
16   81   28
16   82   28
16   83   27
16   84   27
16   85   27
16   86   27
16   87   27
16   88   27
16   89   27
16   90   27
16   91   28
16   92   26
16   93   27
16   94   27
16   95   27
16   96   28
16   97   27
16   98   27
16   99   27
16   100   27
16   101   28
16   102   27
16   103   27
16   104   27
16   105   26
16   106   27
16   107   27
16   108   27
16   109   27
16   110   27
16   111   27
16   112   26
16   113   27
16   114   27
16   115   27
16   116   27
16   117   27
16   118   27
16   119   26
16   120   27
16   121   27
16   122   27
16   123   26
16   124   27
16   125   26
16   126   27
16   127   27
16   128   27
16   129   27
16   130   26
16   131   27
16   132   26
16   133   27
16   134   26
16   135   27
16   136   26
16   137   26
16   138   27
16   139   27
16   140   27
16   141   26
16   142   27
16   143   26
16   144   27
16   145   27
16   146   27
16   147   26
16   148   27
16   149   26
16   150   27
16   151   26
16   152   27
16   153   27
16   154   28
16   155   26
16   156   26
16   157   27
16   158   26
16   159   27
16   160   26
16   161   28
16   162   27
16   163   26
16   164   27
16   165   27
16   166   27
16   167   27
16   168   27
16   169   27
16   170   27
16   171   27
16   172   28
16   173   28
16   174   26
16   175   27
16   176   27
16   177   27
16   178   28
16   179   26
16   180   28
16   181   27
16   182   28
16   183   27
16   184   28
16   185   28
16   186   27
16   187   26
16   188   28
16   189   27
16   190   28
16   191   26
16   192   27
16   193   29
16   194   26
16   195   27
16   196   27
16   197   26
16   198   25
16   199   27
16   200   26
16   201   26
16   202   27
16   203   27
16   204   27
16   205   27
16   206   27
16   207   27
16   208   26
16   209   27
16   210   27
16   211   27
16   212   27
16   213   27
16   214   26
16   215   27
16   216   27
16   217   27
16   218   28
16   219   27
16   220   27
16   221   27
16   222   28
16   223   27
16   224   28
16   225   26
16   226   27
16   227   27
16   228   27
16   229   27
16   230   26
16   231   27
16   232   29
16   233   27
16   234   26
16   235   28
16   236   27
16   237   27
16   238   28
16   239   26
16   240   29
16   241   27
16   242   27
16   243   27
16   244   29
16   245   28
16   246   25
16   247   27
16   248   27
16   249   28
16   250   27
16   251   27
16   252   27
16   253   27
16   254   27
16   255   27
16   256   28
16   257   27
16   258   27
16   259   27
16   260   27
16   261   29
16   262   26
16   263   27
16   264   27
16   265   27
16   266   28
16   267   28
16   268   27
16   269   27
16   270   28
16   271   27
16   272   28
16   273   27
16   274   27
16   275   26
16   276   27
16   277   27
16   278   26
16   279   26
16   280   27
16   281   27
16   282   27
16   283   27
16   284   27
16   285   25
16   286   27
16   287   27
16   288   27
16   289   26
16   290   27
16   291   27
16   292   26
16   293   27
16   294   27
16   295   27
16   296   27
16   297   27
16   298   27
16   299   27
16   300   27
16   301   27
16   302   26
16   303   27
16   304   27
16   305   26
16   306   26
16   307   27
16   308   27
16   309   27
16   310   26
16   311   27
16   312   27
16   313   26
16   314   27
16   315   27
16   316   27
16   317   26
16   318   27
16   319   27
16   320   27
16   321   27
16   322   27
16   323   28
16   324   26
16   325   27
16   326   27
16   327   28
16   328   27
16   329   28
16   330   28
16   331   27
16   332   28
16   333   28
16   334   26
16   335   28
16   336   28
16   337   28
16   338   27
16   339   28
16   340   28
16   341   27
16   342   28
16   343   27
16   344   28
16   345   28
16   346   27
16   347   27
16   348   26
16   349   27
16   350   28
16   351   26
16   352   28
16   353   28
16   354   27
16   355   28
16   356   28
16   357   28
16   358   26
16   359   26
16   360   28
16   361   28
16   362   27
16   363   28
16   364   28
16   365   28
16   366   28
16   367   28
16   368   28
16   369   28
16   370   28
16   371   27
16   372   28
16   373   27
16   374   27
16   375   26
16   376   28
16   377   28
16   378   27
16   379   29
16   380   27
16   381   26
16   382   27
16   383   28
16   384   27
16   385   28
16   386   27
16   387   26
16   388   28
16   389   27
16   390   28
16   391   27
16   392   27
