# This file gives a closer overview about the occurrences of ADC overflows
# during the last acquisition.
# It is updated each time an FID is written to disk.
# 'Scans' denotes the number of scans that have been acquired for the current FID buffer,
# 'Experiment' the number of the current FID buffer 
# (which may be >1 in case of multi dimensional acquisition),
# 'Overflows' the total number of ADC overflows (if existing) that appeared during 'Scans'
# scans in FID buffer 'Experiment'.
# In case a multi-dimensional experiment is fully executed in the FID buffer of the DRU
# (i.e. using 'st' commands) only the sum of all overflows over all experiments is displayed.
# Note that the number of overflows may exceed the actual number of scans
# since there may be more than one overflow per scan.


# Scans   Experiment   Overflows
# ------------------------------
8   1   13
8   2   12
8   3   12
8   4   12
8   5   12
8   6   12
8   7   12
8   8   13
8   9   12
8   10   12
8   11   12
8   12   13
8   13   12
8   14   12
8   15   13
8   16   13
8   17   11
8   18   12
8   19   13
8   20   13
8   21   12
8   22   12
8   23   12
8   24   12
8   25   12
8   26   12
8   27   12
8   28   13
8   29   13
8   30   12
8   31   11
8   32   12
8   33   12
8   34   12
8   35   11
8   36   12
8   37   13
8   38   11
8   39   12
8   40   10
8   41   12
8   42   10
8   43   11
8   44   11
8   45   12
8   46   12
8   47   12
8   48   12
8   49   12
8   50   11
8   51   11
8   52   11
8   53   12
8   54   12
8   55   13
8   56   12
8   57   13
8   58   10
8   59   11
8   60   11
8   61   12
8   62   12
8   63   12
8   64   11
8   65   11
8   66   12
8   67   11
8   68   12
8   69   12
8   70   12
8   71   12
8   72   11
8   73   11
8   74   12
8   75   12
8   76   13
8   77   11
8   78   11
8   79   11
8   80   11
8   81   13
8   82   11
8   83   12
8   84   12
8   85   11
8   86   12
8   87   12
8   88   11
8   89   11
8   90   12
8   91   11
8   92   12
8   93   13
8   94   11
8   95   12
8   96   12
8   97   11
8   98   13
8   99   12
8   100   12
8   101   11
8   102   11
8   103   13
8   104   10
8   105   12
8   106   12
8   107   12
8   108   11
8   109   12
8   110   11
8   111   11
8   112   12
8   113   11
8   114   12
8   115   11
8   116   12
8   117   11
8   118   11
8   119   11
8   120   10
8   121   12
8   122   10
8   123   11
8   124   12
8   125   11
8   126   11
8   127   10
8   128   11
8   129   11
8   130   11
8   131   11
8   132   12
8   133   11
8   134   12
8   135   11
8   136   12
8   137   10
8   138   10
8   139   10
8   140   12
8   141   11
8   142   10
8   143   11
8   144   11
8   145   10
8   146   10
8   147   11
8   148   11
8   149   11
8   150   11
8   151   12
8   152   10
8   153   11
8   154   10
8   155   10
8   156   12
8   157   12
8   158   11
8   159   11
8   160   10
8   161   10
8   162   12
8   163   12
8   164   11
8   165   10
8   166   10
8   167   12
8   168   10
8   169   10
8   170   10
8   171   10
8   172   11
8   173   10
8   174   11
8   175   12
8   176   11
8   177   10
8   178   10
8   179   9
8   180   10
8   181   9
8   182   10
8   183   10
8   184   10
8   185   9
8   186   10
8   187   10
8   188   9
8   189   10
8   190   11
8   191   10
8   192   11
8   193   11
8   194   10
8   195   11
8   196   10
8   197   9
8   198   10
8   199   11
8   200   10
8   201   9
8   202   10
8   203   10
8   204   10
8   205   10
8   206   9
8   207   8
8   208   10
8   209   10
8   210   11
8   211   10
8   212   10
8   213   9
8   214   10
8   215   12
8   216   10
8   217   10
8   218   11
8   219   9
8   220   9
8   221   9
8   222   9
8   223   9
8   224   9
8   225   9
8   226   10
8   227   11
8   228   8
8   229   9
8   230   9
8   231   9
8   232   10
8   233   9
8   234   9
8   235   8
8   236   9
8   237   10
8   238   9
8   239   9
8   240   8
8   241   9
8   242   8
8   243   9
8   244   9
8   245   9
8   246   8
8   247   10
8   248   9
8   249   9
8   250   9
8   251   9
8   252   10
8   253   9
8   254   9
8   255   9
8   256   9
8   257   9
8   258   9
8   259   9
8   260   8
8   261   9
8   262   9
8   263   8
8   264   9
8   265   8
8   266   9
8   267   8
8   268   9
8   269   9
8   270   8
8   271   8
8   272   9
8   273   8
8   274   9
8   275   10
8   276   8
8   277   10
8   278   9
8   279   9
8   280   8
8   281   8
8   282   9
8   283   8
8   284   10
8   285   8
8   286   10
8   287   10
8   288   8
8   289   8
8   290   8
8   291   8
8   292   8
8   293   9
8   294   8
8   295   9
8   296   8
8   297   9
8   298   9
8   299   8
8   300   9
8   301   8
8   302   8
8   303   8
8   304   8
8   305   8
8   306   8
8   307   8
8   308   8
8   309   8
8   310   8
8   311   9
8   312   8
8   313   9
8   314   8
8   315   8
8   316   8
8   317   8
8   318   9
8   319   8
8   320   8
8   321   8
8   322   8
