# This file gives a closer overview about the occurrences of ADC overflows
# during the last acquisition.
# It is updated each time an FID is written to disk.
# 'Scans' denotes the number of scans that have been acquired for the current FID buffer,
# 'Experiment' the number of the current FID buffer 
# (which may be >1 in case of multi dimensional acquisition),
# 'Overflows' the total number of ADC overflows (if existing) that appeared during 'Scans'
# scans in FID buffer 'Experiment'.
# In case a multi-dimensional experiment is fully executed in the FID buffer of the DRU
# (i.e. using 'st' commands) only the sum of all overflows over all experiments is displayed.
# Note that the number of overflows may exceed the actual number of scans
# since there may be more than one overflow per scan.


# Scans   Experiment   Overflows
# ------------------------------
32   1   49
32   2   50
32   3   47
32   4   48
32   5   50
32   6   47
32   7   47
32   8   51
32   9   50
32   10   48
32   11   53
32   12   51
32   13   54
32   14   50
32   15   51
32   16   50
32   17   52
32   18   51
32   19   51
32   20   49
32   21   53
32   22   53
32   23   52
32   24   53
32   25   52
32   26   54
32   27   54
32   28   52
32   29   51
32   30   53
32   31   52
32   32   52
32   33   51
32   34   53
32   35   52
32   36   54
32   37   51
32   38   51
32   39   51
32   40   51
32   41   50
32   42   51
32   43   49
32   44   50
32   45   53
32   46   52
32   47   52
32   48   52
32   49   52
32   50   48
32   51   51
32   52   51
32   53   45
32   54   48
32   55   46
32   56   52
32   57   46
32   58   49
32   59   50
32   60   51
32   61   48
32   62   45
32   63   48
32   64   47
32   65   47
32   66   46
32   67   45
32   68   50
32   69   46
32   70   45
32   71   50
32   72   47
32   73   47
32   74   48
32   75   48
32   76   51
32   77   47
32   78   49
32   79   45
32   80   48
32   81   51
32   82   50
32   83   47
32   84   52
32   85   45
32   86   46
32   87   49
32   88   48
32   89   51
32   90   53
32   91   50
32   92   51
32   93   51
32   94   51
32   95   49
32   96   52
32   97   47
32   98   52
32   99   50
32   100   49
32   101   52
32   102   51
32   103   50
32   104   52
32   105   51
32   106   50
32   107   51
32   108   50
32   109   51
32   110   51
32   111   51
32   112   51
32   113   52
32   114   52
32   115   50
32   116   51
32   117   50
32   118   52
32   119   51
32   120   50
32   121   49
32   122   47
32   123   51
32   124   48
32   125   48
32   126   51
32   127   49
32   128   50
32   129   50
32   130   50
32   131   50
32   132   52
32   133   49
32   134   51
32   135   52
32   136   51
32   137   52
32   138   49
32   139   50
32   140   52
32   141   51
32   142   50
32   143   52
32   144   48
32   145   50
32   146   51
32   147   51
32   148   52
32   149   49
32   150   51
32   151   48
32   152   50
32   153   52
32   154   50
32   155   50
32   156   50
32   157   51
32   158   51
32   159   51
32   160   49
32   161   52
32   162   50
32   163   53
32   164   50
32   165   50
32   166   50
32   167   53
32   168   50
32   169   53
32   170   51
32   171   49
32   172   49
32   173   49
32   174   50
32   175   51
32   176   49
32   177   51
32   178   52
32   179   52
32   180   50
32   181   51
32   182   50
32   183   51
32   184   53
32   185   49
32   186   50
32   187   53
32   188   51
32   189   50
32   190   50
32   191   49
32   192   51
32   193   49
32   194   52
32   195   50
32   196   51
32   197   49
32   198   47
32   199   51
32   200   51
32   201   53
32   202   49
32   203   48
32   204   49
32   205   51
32   206   48
32   207   48
32   208   47
32   209   48
32   210   46
32   211   50
32   212   48
32   213   46
32   214   50
32   215   48
32   216   50
32   217   51
32   218   48
32   219   51
32   220   51
32   221   49
32   222   48
32   223   47
32   224   50
32   225   49
32   226   49
32   227   49
32   228   48
32   229   45
32   230   43
32   231   46
32   232   47
32   233   50
32   234   48
32   235   51
32   236   48
32   237   48
32   238   52
32   239   50
32   240   51
32   241   51
32   242   53
32   243   51
32   244   49
32   245   50
32   246   50
32   247   49
32   248   48
32   249   50
32   250   52
32   251   49
32   252   53
32   253   51
32   254   52
32   255   50
32   256   51
32   257   52
32   258   48
32   259   51
32   260   51
32   261   50
32   262   51
32   263   50
32   264   48
