# This file gives a closer overview about the occurrences of ADC overflows
# during the last acquisition.
# It is updated each time an FID is written to disk.
# 'Scans' denotes the number of scans that have been acquired for the current FID buffer,
# 'Experiment' the number of the current FID buffer 
# (which may be >1 in case of multi dimensional acquisition),
# 'Overflows' the total number of ADC overflows (if existing) that appeared during 'Scans'
# scans in FID buffer 'Experiment'.
# In case a multi-dimensional experiment is fully executed in the FID buffer of the DRU
# (i.e. using 'st' commands) only the sum of all overflows over all experiments is displayed.
# Note that the number of overflows may exceed the actual number of scans
# since there may be more than one overflow per scan.


# Scans   Experiment   Overflows
# ------------------------------
16   1   24
16   2   25
16   3   26
16   4   25
16   5   27
16   6   25
16   7   26
16   8   23
16   9   25
16   10   26
16   11   26
16   12   26
16   13   23
16   14   25
16   15   25
16   16   26
16   17   26
16   18   26
16   19   24
16   20   25
16   21   25
16   22   25
16   23   25
16   24   25
16   25   25
16   26   25
16   27   25
16   28   25
16   29   25
16   30   27
16   31   25
16   32   24
16   33   25
16   34   25
16   35   27
16   36   23
16   37   23
16   38   23
16   39   24
16   40   25
16   41   24
16   42   26
16   43   26
16   44   25
16   45   26
16   46   23
16   47   25
16   48   26
16   49   25
16   50   25
16   51   22
16   52   26
16   53   26
16   54   23
16   55   25
16   56   23
16   57   23
16   58   24
16   59   22
16   60   27
16   61   24
16   62   23
16   63   25
16   64   27
16   65   25
16   66   25
16   67   25
16   68   24
16   69   23
16   70   23
16   71   25
16   72   25
16   73   24
16   74   24
16   75   26
16   76   22
16   77   26
16   78   24
16   79   23
16   80   23
16   81   24
16   82   23
16   83   22
16   84   24
16   85   26
16   86   24
16   87   26
16   88   23
16   89   24
16   90   25
16   91   24
16   92   25
16   93   24
16   94   25
16   95   25
16   96   26
16   97   26
16   98   24
16   99   26
16   100   27
16   101   27
16   102   26
16   103   23
16   104   26
16   105   22
16   106   26
16   107   23
16   108   26
16   109   25
16   110   26
16   111   25
16   112   26
16   113   25
16   114   24
16   115   25
16   116   26
16   117   25
16   118   26
16   119   25
16   120   26
16   121   24
16   122   25
16   123   26
16   124   24
16   125   26
16   126   26
16   127   25
16   128   26
16   129   25
16   130   24
16   131   26
16   132   25
16   133   24
16   134   27
16   135   26
16   136   26
16   137   26
16   138   26
16   139   25
16   140   25
16   141   27
16   142   28
16   143   26
16   144   25
16   145   26
16   146   26
16   147   24
16   148   28
16   149   23
16   150   27
16   151   26
16   152   27
16   153   28
16   154   27
16   155   24
16   156   26
16   157   26
16   158   28
16   159   26
16   160   27
16   161   26
16   162   25
16   163   26
16   164   27
16   165   26
16   166   25
16   167   26
16   168   27
16   169   28
16   170   26
16   171   24
16   172   25
16   173   27
16   174   28
16   175   26
16   176   25
16   177   27
16   178   26
16   179   26
16   180   27
16   181   25
16   182   26
16   183   24
16   184   25
16   185   26
16   186   26
16   187   27
16   188   26
16   189   25
16   190   25
16   191   26
16   192   26
16   193   26
16   194   25
16   195   27
16   196   26
16   197   25
16   198   25
16   199   26
16   200   25
16   201   26
16   202   26
16   203   26
16   204   26
16   205   26
16   206   26
16   207   25
16   208   26
16   209   24
16   210   26
16   211   27
16   212   25
16   213   25
16   214   26
16   215   26
16   216   26
16   217   24
16   218   26
16   219   23
16   220   26
16   221   26
16   222   26
16   223   25
16   224   26
16   225   25
16   226   26
16   227   25
16   228   25
16   229   25
16   230   26
16   231   26
16   232   25
16   233   26
16   234   25
16   235   26
16   236   25
16   237   25
16   238   26
16   239   25
16   240   24
16   241   25
16   242   26
16   243   26
16   244   25
16   245   25
16   246   25
16   247   25
16   248   25
16   249   26
16   250   25
16   251   27
16   252   26
16   253   27
16   254   25
16   255   26
16   256   26
16   257   25
16   258   27
16   259   25
16   260   25
16   261   26
16   262   25
16   263   27
16   264   27
16   265   27
16   266   25
16   267   24
16   268   26
16   269   25
16   270   26
16   271   25
16   272   26
16   273   25
16   274   25
16   275   26
16   276   26
16   277   25
16   278   24
16   279   26
16   280   26
16   281   27
16   282   26
16   283   24
16   284   26
16   285   25
16   286   25
16   287   26
16   288   26
16   289   25
16   290   25
16   291   26
16   292   27
16   293   26
16   294   25
16   295   26
16   296   25
16   297   25
16   298   25
16   299   25
16   300   26
16   301   25
16   302   26
16   303   24
16   304   27
16   305   26
16   306   25
16   307   24
16   308   26
16   309   26
16   310   26
16   311   23
16   312   25
16   313   24
16   314   26
16   315   23
16   316   24
16   317   25
16   318   26
16   319   24
16   320   26
16   321   26
16   322   26
16   323   26
16   324   24
16   325   23
16   326   25
16   327   25
16   328   26
16   329   26
16   330   25
16   331   26
16   332   27
16   333   26
16   334   27
16   335   26
16   336   27
16   337   24
16   338   25
16   339   26
16   340   25
16   341   24
16   342   27
16   343   26
16   344   26
16   345   26
16   346   24
16   347   26
16   348   27
16   349   25
16   350   27
16   351   27
16   352   25
16   353   26
16   354   24
16   355   27
16   356   25
16   357   26
16   358   25
16   359   25
16   360   26
16   361   26
16   362   25
16   363   26
16   364   27
16   365   27
16   366   26
16   367   26
16   368   25
16   369   25
16   370   26
16   371   26
16   372   26
16   373   25
16   374   26
16   375   27
16   376   25
16   377   26
16   378   25
16   379   26
16   380   25
16   381   26
16   382   26
16   383   26
16   384   25
16   385   26
16   386   25
16   387   24
16   388   26
16   389   26
16   390   27
16   391   27
16   392   26
16   393   26
16   394   25
16   395   25
16   396   24
16   397   26
16   398   26
16   399   26
16   400   26
16   401   26
16   402   26
16   403   25
16   404   26
16   405   26
16   406   26
16   407   26
16   408   25
16   409   26
16   410   26
16   411   26
16   412   26
16   413   26
16   414   26
16   415   24
16   416   25
16   417   25
16   418   26
16   419   26
16   420   25
16   421   26
16   422   26
16   423   27
16   424   26
16   425   25
16   426   25
16   427   26
16   428   26
16   429   26
16   430   26
16   431   26
16   432   26
16   433   25
16   434   26
16   435   26
16   436   26
16   437   26
16   438   25
16   439   27
16   440   26
16   441   25
16   442   26
16   443   24
16   444   25
16   445   26
16   446   26
16   447   25
16   448   25
16   449   26
16   450   24
16   451   26
16   452   26
16   453   25
16   454   26
16   455   27
16   456   26
16   457   26
16   458   25
16   459   26
16   460   27
16   461   26
16   462   24
16   463   27
16   464   26
16   465   27
16   466   26
16   467   25
16   468   26
16   469   26
16   470   25
16   471   26
16   472   27
16   473   27
16   474   26
16   475   26
16   476   25
16   477   25
16   478   26
16   479   26
16   480   25
16   481   26
16   482   27
16   483   26
16   484   26
16   485   27
16   486   27
16   487   26
16   488   26
16   489   26
16   490   25
16   491   26
16   492   27
16   493   26
16   494   27
16   495   26
16   496   27
16   497   24
16   498   26
16   499   25
16   500   27
16   501   27
16   502   27
16   503   27
16   504   25
16   505   26
16   506   25
16   507   25
16   508   25
16   509   26
16   510   26
16   511   26
16   512   26
